"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000BlfRAAS","0058c00000BxeO9AAJ","false","O-001233","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpkAAC","a2zHo0000022d9MIAQ","","false"
"a2z8c000000BlfSAAS","0058c00000BxeO9AAJ","false","O-001234","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgq6AAC","a2zHo0000022d9NIAQ","","false"
"a2z8c000000BlfTAAS","0058c00000BxeO9AAJ","false","O-001235","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpcAAC","a2zHo0000022d9OIAQ","","false"
"a2z8c000000BlfUAAS","0058c00000BxeO9AAJ","false","O-001236","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpeAAC","a2zHo0000022d9PIAQ","","false"
"a2z8c000000BlfVAAS","0058c00000BxeO9AAJ","false","O-001237","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpaAAC","a2zHo0000022d9QIAQ","","false"
"a2z8c000000BlfWAAS","0058c00000BxeO9AAJ","false","O-001238","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgphAAC","a2zHo0000022d9RIAQ","","false"
"a2z8c000000BlfXAAS","0058c00000BxeO9AAJ","false","O-001239","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz2AAC","a2zHo0000022d9TIAQ","","false"
"a2z8c000000BlfYAAS","0058c00000BxeO9AAJ","false","O-001240","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz3AAC","a2zHo0000022d95IAA","","false"
"a2z8c000000BlfZAAS","0058c00000BxeO9AAJ","false","O-001241","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes - By selecting this option, this record will be marked Reg W Reportable","1.0","a308c000000Bgz4AAC","a2zHo0000022d96IAA","","false"
"a2z8c000000BlfaAAC","0058c00000BxeO9AAJ","false","O-001242","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz3AAC","a2zHo0000022d9SIAQ","","false"
"a2z8c000000BlfbAAC","0058c00000BxeO9AAJ","false","O-001243","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz2AAC","a2zHo0000022d9UIAQ","","false"
